,precision,recall,f1-score,support
apple,1.0,1.0,1.0,23.0
banana,1.0,1.0,1.0,21.0
blackgram,1.0,1.0,1.0,20.0
chickpea,1.0,1.0,1.0,26.0
coconut,1.0,1.0,1.0,27.0
coffee,1.0,1.0,1.0,17.0
cotton,1.0,1.0,1.0,17.0
grapes,1.0,1.0,1.0,14.0
jute,0.92,1.0,0.9583333333333334,23.0
kidneybeans,1.0,1.0,1.0,20.0
lentil,0.9166666666666666,1.0,0.9565217391304348,11.0
maize,1.0,1.0,1.0,21.0
mango,1.0,1.0,1.0,19.0
mothbeans,1.0,0.9583333333333334,0.9787234042553191,24.0
mungbean,1.0,1.0,1.0,19.0
muskmelon,1.0,1.0,1.0,17.0
orange,1.0,1.0,1.0,14.0
papaya,1.0,1.0,1.0,23.0
pigeonpeas,1.0,1.0,1.0,23.0
pomegranate,1.0,1.0,1.0,23.0
rice,1.0,0.8947368421052632,0.9444444444444444,19.0
watermelon,1.0,1.0,1.0,19.0
accuracy,0.9931818181818182,0.9931818181818182,0.9931818181818182,0.9931818181818182
macro avg,0.9925757575757576,0.9933213716108454,0.9926374055074331,440.0
weighted avg,0.9937348484848485,0.9931818181818182,0.9931754816901672,440.0
