,precision,recall,f1-score,support
Barley,0.4588235294117647,0.375,0.4126984126984127,104.0
Bean,0.28,0.11864406779661017,0.16666666666666666,59.0
Dagussa,0.14285714285714285,0.2222222222222222,0.17391304347826086,9.0
Fallow,0.0,0.0,0.0,5.0
Maize,0.5028901734104047,0.6492537313432836,0.5667752442996743,134.0
Niger seed,0.0,0.0,0.0,15.0
Pea,0.5555555555555556,0.19230769230769232,0.2857142857142857,26.0
Potato,0.0,0.0,0.0,8.0
Red Pepper,0.0,0.0,0.0,5.0
Sorghum,0.125,0.047619047619047616,0.06896551724137931,21.0
Teff,0.5212765957446809,0.6681818181818182,0.5856573705179283,220.0
Wheat,0.4233576642335766,0.42962962962962964,0.4264705882352941,135.0
apple,1.0,1.0,1.0,23.0
banana,1.0,1.0,1.0,25.0
blackgram,1.0,0.9615384615384616,0.9803921568627451,26.0
chickpea,1.0,1.0,1.0,23.0
coconut,1.0,1.0,1.0,23.0
coffee,1.0,1.0,1.0,22.0
cotton,1.0,1.0,1.0,15.0
grapes,1.0,1.0,1.0,18.0
jute,0.9444444444444444,1.0,0.9714285714285714,17.0
kidneybeans,1.0,1.0,1.0,21.0
lentil,1.0,1.0,1.0,16.0
maize,0.9615384615384616,1.0,0.9803921568627451,25.0
mango,1.0,1.0,1.0,28.0
mothbeans,1.0,1.0,1.0,21.0
mungbean,1.0,1.0,1.0,16.0
muskmelon,1.0,1.0,1.0,22.0
orange,1.0,1.0,1.0,22.0
papaya,1.0,1.0,1.0,22.0
pigeonpeas,1.0,1.0,1.0,30.0
pomegranate,1.0,1.0,1.0,14.0
rice,1.0,0.9565217391304348,0.9777777777777777,23.0
watermelon,1.0,1.0,1.0,21.0
accuracy,0.6729818780889621,0.6729818780889621,0.6729818780889621,0.6729818780889621
macro avg,0.7328159872704715,0.7241446591108588,0.7234368174054041,1214.0
weighted avg,0.6531369372778881,0.6729818780889621,0.656149292587276,1214.0
